FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
1100.0,167672,40366,127306,131161,28664,102497,36511,11702,24809,48000,65000,42180,45000,60000,37468,50000,67309,45000,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,117626,18479,99147,88543,13329,75214,29083,5150,23933,53000,80000,50000,43000,56000,40000,56000,90054,53000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,53272,14484,38788,44783,11399,33384,8489,3085,5404,70000,80412,65000,72458,77542,70827,68672,90055,61856,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,169419,60647,108772,85767,33059,52708,83652,27588,56064,55000,75000,48000,50000,65450,42000,65000,83902,55238,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,47335,19163,28172,19457,8934,10523,27878,10229,17649,74149,80000,65000,65826,73368,55000,80000,95554,73214,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,123452,37015,86437,87869,26477,61392,35583,10538,25045,52000,67000,48000,40000,58000,35000,59000,70000,51000,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,10290,4328,5962,8630,3241,5389,1660,1087,573,70000,73101,68000,46954,54179,35331,70040,77093,68129,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,13646,6629,7017,7433,4396,3037,6213,2233,3980,50000,85929,38530,40652,76712,31539,70085,84131,60000,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,178781,50282,128499,92192,23513,68679,86589,26769,59820,60000,70000,53730,53748,69000,45184,63000,75000,60000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,93320,24264,69056,79493,19653,59840,13827,4611,9216,60000,73424,58000,50000,51105,50000,62000,78000,60000,FORESTRY,Agriculture & Natural Resources
1303.0,129084,34884,94200,84082,21232,62850,45002,13652,31350,55000,65000,52000,50000,58000,46069,58000,70000,55000,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,477578,166301,311277,327074,109907,217167,150504,56394,94110,65000,70000,60000,55000,63000,52000,70000,75000,65000,ARCHITECTURE,Engineering
1501.0,212318,97839,114479,69365,31180,38185,142953,66659,76294,59000,70000,50000,55000,65000,45000,65000,78000,54984,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,1436560,322506,1114054,570872,121004,449868,865688,201502,664186,55000,64000,52000,50000,60000,50000,60000,72277,60000,COMMUNICATIONS,Communications & Journalism
1902.0,575990,135195,440795,227596,52407,175189,348394,82788,265606,58000,70000,54000,55000,65000,50000,63000,80351,60000,JOURNALISM,Communications & Journalism
1903.0,310541,57880,252661,164241,28060,136181,146300,29820,116480,50000,63000,46000,50000,60000,45290,50000,67000,46911,MASS MEDIA,Communications & Journalism
1904.0,245159,38316,206843,85771,13628,72143,159388,24688,134700,52000,68000,50000,48000,65000,46000,60000,74187,60000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,85696,8577,77119,54078,4873,49205,31618,3704,27914,45000,70000,42000,42000,80000,40000,48000,65000,45000,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,416607,99472,317135,286470,64116,222354,130137,35356,94781,70000,82000,65000,65000,75000,60000,72000,90000,68000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,39090,6016,33074,26628,3193,23435,12462,2823,9639,65000,81036,62512,60000,74039,56956,70000,83100,65796,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,1274999,402693,872306,936476,290404,646072,338523,112289,226234,88000,100000,80000,80000,85000,75000,90000,100000,83000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,129403,39091,90312,88588,25258,63330,40815,13833,26982,74000,85000,70000,70000,71862,65225,76440,90000,73647,INFORMATION SCIENCES,Computers & Mathematics
2106.0,71434,17280,54154,52274,11159,41115,19160,6121,13039,65000,80000,59000,53000,75472,48893,70000,80949,65000,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,61585,10616,50969,43978,7363,36615,17607,3253,14354,60000,75000,56175,60000,89062,56598,60000,72190,56000,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,60840,8480,52360,35176,5006,30170,25664,3474,22190,43000,35103,44406,33298,18240,34105,45000,45000,47000,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,2823787,1297797,1525990,707130,349540,357590,2116657,948257,1168400,50000,56000,42000,48000,55000,40000,54000,64582,47000,GENERAL EDUCATION,Education
2301.0,63317,59726,3591,29292,27750,1542,34025,31976,2049,63121,65000,53969,59796,60000,30000,76254,78000,57532,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,26711,24677,2034,5971,5410,561,20740,19267,1473,50000,50000,59176,50000,50000,35519,63703,51121,88663,SCHOOL STUDENT COUNSELING,Education
2304.0,2550212,1130995,1419217,251979,135545,116434,2298233,995450,1302783,48000,55000,40000,47000,55000,40000,52000,60000,46000,ELEMENTARY EDUCATION,Education
2305.0,149574,81383,68191,57847,35276,22571,91727,46107,45620,53000,60000,45000,50000,57000,44000,57105,65000,49172,MATHEMATICS TEACHER EDUCATION,Education
2306.0,482706,206730,275976,255299,112703,142596,227407,94027,133380,53000,65000,46000,50000,62000,42000,55000,65000,50000,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,263778,88439,175339,7625,3496,4129,256153,84943,171210,41000,50000,36823,40651,50000,36000,44181,50000,38773,EARLY CHILDHOOD EDUCATION,Education
2308.0,127060,73156,53904,59036,35493,23543,68024,37663,30361,55000,62000,46000,51000,60000,42000,58705,68000,52290,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,464555,247148,217407,212180,120671,91509,252375,126477,125898,54000,60000,46000,52000,58000,43581,58000,64000,50000,SECONDARY TEACHER EDUCATION,Education
2310.0,353134,205046,148088,39857,23686,16171,313277,181360,131917,51000,60000,42000,50000,59000,41000,55000,60000,48000,SPECIAL NEEDS EDUCATION,Education
2311.0,228794,109820,118974,124449,63207,61242,104345,46613,57732,50000,56204,42000,45000,55000,40000,50000,58000,45000,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
2312.0,154577,73227,81350,31840,15153,16687,122737,58074,64663,48000,56000,40000,46000,55000,38000,51666,65000,47007,TEACHER EDUCATION: MULTIPLE LEVELS,Education
2313.0,368025,199410,168615,63689,38360,25329,304336,161050,143286,50000,56000,42000,50000,55000,41000,55000,64300,46072,LANGUAGE AND DRAMA EDUCATION,Education
2314.0,421725,194312,227413,143975,76574,67401,277750,117738,160012,48323,58000,41000,46000,58000,39000,53000,58000,47000,ART AND MUSIC EDUCATION,Education
2399.0,389397,173829,215568,167759,75710,92049,221638,98119,123519,55000,60000,50000,50000,58000,43000,60000,69000,58000,MISCELLANEOUS EDUCATION,Education
2400.0,830762,292290,538472,711896,244637,467259,118866,47653,71213,80000,100000,75000,75000,80000,68438,85000,100000,75000,GENERAL ENGINEERING,Engineering
2401.0,132843,60455,72388,119599,53936,65663,13244,6519,6725,95000,104000,84000,84135,84597,81297,98000,108588,84000,AEROSPACE ENGINEERING,Engineering
2402.0,55401,21969,33432,42497,16274,26223,12904,5695,7209,65000,72834,59621,64000,64095,47950,69973,79707,60000,BIOLOGICAL ENGINEERING,Engineering
2403.0,25338,7607,17731,19872,5502,14370,5466,2105,3361,78200,75000,79155,69796,76524,65448,82941,72208,87881,ARCHITECTURAL ENGINEERING,Engineering
2404.0,54930,30656,24274,34389,20211,14178,20541,10445,10096,80000,96570,60063,64268,70426,47409,90000,100000,70000,BIOMEDICAL ENGINEERING,Engineering
2405.0,372223,183247,188976,277520,138117,139403,94703,45130,49573,100000,110000,90000,85617,95213,79865,100000,115000,93000,CHEMICAL ENGINEERING,Engineering
2406.0,605278,219997,385281,511540,182955,328585,93738,37042,56696,85000,98000,80000,76000,80000,74000,89000,100000,80000,CIVIL ENGINEERING,Engineering
2407.0,295840,109494,186346,236335,85750,150585,59505,23744,35761,95000,104000,85000,78921,80000,75000,98202,110000,85126,COMPUTER ENGINEERING,Engineering
2408.0,1264279,551745,712534,1113544,481253,632291,150735,70492,80243,100000,110000,90000,90000,100000,80000,100000,113308,90000,ELECTRICAL ENGINEERING,Engineering
2409.0,43983,25217,18766,39048,22053,16995,4935,3164,1771,80000,100000,65000,65927,63471,69014,80000,114151,65000,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering
2410.0,35073,15092,19981,23111,9991,13120,11962,5101,6861,75000,84579,70354,62690,69833,56819,79626,88528,75000,ENVIRONMENTAL ENGINEERING,Engineering
2411.0,9237,3781,5456,6752,2985,3767,2485,796,1689,99486,113391,85631,62897,65500,61565,111297,123349,110413,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering
2412.0,237804,93950,143854,184962,72365,112597,52842,21585,31257,90000,102000,76000,80000,90000,70000,90000,108000,78000,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering
2413.0,44647,18512,26135,35711,14812,20899,8936,3700,5236,85000,98104,73000,74015,79096,65000,90000,100491,73000,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering
2414.0,1003561,390904,612657,912756,351166,561590,90805,39738,51067,92000,106000,83000,83456,92764,74339,95000,110000,83000,MECHANICAL ENGINEERING,Engineering
2415.0,25532,14302,11230,23674,13228,10446,1858,1074,784,110000,110000,107573,99796,104496,74241,110000,110000,109633,METALLURGICAL ENGINEERING,Engineering
2416.0,18204,5817,12387,16722,5498,11224,1482,319,1163,100000,105601,100000,99076,119378,102954,100000,106106,100000,MINING AND MINERAL ENGINEERING,Engineering
2417.0,26742,12475,14267,25331,11403,13928,1411,1072,339,104000,115000,100000,87695,81699,88534,104430,116728,100000,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering
2418.0,18035,8997,9038,16399,8915,7484,1636,82,1554,119971,120000,119229,71778,140000,71695,120000,120000,121751,NUCLEAR ENGINEERING,Engineering
2419.0,32839,10092,22747,28873,9143,19730,3966,949,3017,141006,150000,125083,100000,158534,87530,150000,150000,130000,PETROLEUM ENGINEERING,Engineering
2499.0,99649,29416,70233,83095,22929,60166,16554,6487,10067,80000,100000,75000,65189,65486,64789,80000,105000,75000,MISCELLANEOUS ENGINEERING,Engineering
2500.0,56362,10923,45439,43509,7100,36409,12853,3823,9030,75000,71689,75000,54344,30472,59087,80000,81458,80000,ENGINEERING TECHNOLOGIES,Engineering
2501.0,61784,19729,42055,54014,17013,37001,7770,2716,5054,82000,90601,72760,65915,90000,55000,83345,92603,75000,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering
2502.0,130364,32082,98282,111415,26157,85258,18949,5925,13024,79000,88053,75000,70000,79675,70000,80000,90000,76000,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering
2503.0,101597,20260,81337,94036,17833,76203,7561,2427,5134,75000,87365,70000,75134,65481,75766,75000,88000,68633,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering
2504.0,41323,6695,34628,38280,6141,32139,3043,554,2489,74000,90295,67661,83206,105000,78037,71000,90325,67000,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering
2599.0,99708,19358,80350,79287,14674,64613,20421,4684,15737,65000,85000,61156,61744,75000,52085,65000,90000,63000,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering
