FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
1100.0,166855,44813,122042,133465,34913,98552,33390,9900,23490,50000,66157,45000,45000,60000,39792,50000,70000,46000,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,109471,16788,92683,85844,12681,73163,23627,4107,19520,48000,61673,47443,41200,40000,42000,50000,70000,48490,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,53048,15370,37678,42505,11308,31197,10543,4062,6481,56000,66448,54000,55291,59077,50000,56693,75000,54000,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,156340,55124,101216,83267,31329,51938,73073,23795,49278,48798,65000,40000,42000,60000,35000,54000,75000,45000,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,37193,13980,23213,15661,6998,8663,21532,6982,14550,64687,62145,65702,52000,55371,45959,85000,80555,89251,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,110472,30452,80020,80391,21094,59297,30081,9358,20723,50000,63000,43283,42000,52000,40000,52000,65000,48312,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,11274,3272,8002,10140,2906,7234,1134,366,768,63110,66013,62162,74688,76402,72245,61541,63058,57889,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,12762,5295,7467,7017,3440,3577,5745,1855,3890,45000,45000,45000,39882,60152,38244,47181,45000,52000,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,142520,41499,101021,79682,23451,56231,62838,18048,44790,55000,67000,50599,48000,60000,45000,60000,71497,58000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,98957,26109,72848,85997,21941,64056,12960,4168,8792,57000,75000,53994,44796,59287,41805,58000,77463,55000,FORESTRY,Agriculture & Natural Resources
1303.0,109686,28932,80754,76159,19419,56740,33527,9513,24014,54000,60000,50000,43000,58000,40000,55823,62736,54000,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,432603,142610,289993,308567,101986,206581,124036,40624,83412,63199,70000,60000,52000,60000,48068,69000,75000,63000,ARCHITECTURE,Engineering
1501.0,186100,86125,99975,65129,32477,32652,120971,53648,67323,55000,70000,45000,50000,62008,45000,68386,90000,50000,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
