FOD1P,total,total_grad,total_no_grad,total_men,total_grad_men,total_no_grad_men,total_women,total_grad_women,total_no_grad_women,overall_median,overall_grad_median,overall_no_grad_median,women_median,women_grad_median,women_no_grad_median,men_median,men_grad_median,men_no_grad_median,Major,Major_Category
1100.0,171234,43950,127284,134132,32799,101333,37102,11151,25951,49186,63000,45000,47552,60000,40193,49400,65000,45675,GENERAL AGRICULTURE,Agriculture & Natural Resources
1101.0,113498,16411,97087,90862,12760,78102,22636,3651,18985,50000,55000,50000,42000,46022,41574,51000,57825,50000,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources
1102.0,46867,14824,32043,37559,10851,26708,9308,3973,5335,60000,80000,53000,51733,62632,50000,60000,85000,55000,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources
1103.0,161488,59450,102038,81101,29782,51319,80387,29668,50719,50000,65000,42000,46000,62000,36000,56000,75000,50000,ANIMAL SCIENCES,Agriculture & Natural Resources
1104.0,42536,15877,26659,18272,6708,11564,24264,9169,15095,70405,75000,65000,63000,66368,59188,75000,100000,68895,FOOD SCIENCE,Agriculture & Natural Resources
1105.0,112506,31705,80801,78811,21872,56939,33695,9833,23862,50000,61000,47000,45500,60175,39869,55046,61785,50000,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources
1106.0,9024,3201,5823,6418,2339,4079,2606,862,1744,45727,50704,42836,35694,41830,35174,54000,72300,53722,SOIL SCIENCE,Agriculture & Natural Resources
1199.0,15129,5370,9759,9426,3576,5850,5703,1794,3909,45000,45302,45000,41536,35388,45000,50000,54657,48029,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources
1301.0,159754,44729,115025,82938,23059,59879,76816,21670,55146,56000,62502,54000,50000,59000,45000,60000,65385,60000,ENVIRONMENTAL SCIENCE,Biology & Life Science
1302.0,91305,23546,67759,79161,19885,59276,12144,3661,8483,60000,70000,56000,48038,59327,42955,60000,78890,60000,FORESTRY,Agriculture & Natural Resources
1303.0,116752,30146,86606,79294,20852,58442,37458,9294,28164,55000,71662,50000,47474,56000,45066,56247,75000,52000,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources
1401.0,452669,158210,294459,313363,108078,205285,139306,50132,89174,64000,70000,60000,52900,60482,48706,68000,71000,65000,ARCHITECTURE,Engineering
1501.0,195948,86604,109344,70055,31505,38550,125893,55099,70794,54000,74000,43548,52000,66132,41683,60217,90000,45234,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts
1901.0,1328832,292119,1036713,525328,102904,422424,803504,189215,614289,52000,62000,50000,49000,58000,45000,60000,75000,55000,COMMUNICATIONS,Communications & Journalism
1902.0,539393,122211,417182,230182,49530,180652,309211,72681,236530,52000,65000,50000,50000,60000,46300,57000,75000,52000,JOURNALISM,Communications & Journalism
1903.0,275596,46286,229310,139629,21414,118215,135967,24872,111095,50000,60000,49000,45548,55000,45000,54000,69041,50000,MASS MEDIA,Communications & Journalism
1904.0,229348,34742,194606,76052,12551,63501,153296,22191,131105,50000,65000,50000,46095,58350,45000,60000,72320,55000,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism
2001.0,74181,9374,64807,50992,6415,44577,23189,2959,20230,50000,50000,49712,41320,60000,40000,50000,44197,50000,COMMUNICATION TECHNOLOGIES,Computers & Mathematics
2100.0,343955,75027,268928,234210,48005,186205,109745,27022,82723,70000,80000,66000,63630,70000,61016,70000,85000,69000,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics
2101.0,40209,7330,32879,24670,4210,20460,15539,3120,12419,60000,78648,59680,60000,51604,60000,60000,87626,55401,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics
2102.0,1177902,358765,819137,860304,254107,606197,317598,104658,212940,84000,94000,80000,77000,83000,71000,86000,98000,80000,COMPUTER SCIENCE,Computers & Mathematics
2105.0,105073,26980,78093,68243,16038,52205,36830,10942,25888,70000,82357,65000,66000,69903,63000,70000,95000,65000,INFORMATION SCIENCES,Computers & Mathematics
2106.0,55089,10242,44847,38392,7641,30751,16697,2601,14096,55000,75485,55000,43000,42869,44922,58494,81000,55000,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics
2107.0,62626,10031,52595,43090,6404,36686,19536,3627,15909,59250,80000,55000,51000,54570,50460,60000,84767,55000,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics
2201.0,47878,4157,43721,26978,2478,24500,20900,1679,19221,35000,38962,35000,30000,56392,30000,40000,28568,40000,COSMETOLOGY SERVICES AND CULINARY ARTS,Industrial Arts & Consumer Services
2300.0,2651465,1178869,1472596,651336,326290,325046,2000129,852579,1147550,50000,59000,43000,48000,56000,41000,55000,64000,50000,GENERAL EDUCATION,Education
2301.0,60939,55699,5240,30079,27608,2471,30860,28091,2769,62000,62000,55451,60000,60000,58000,68000,69901,49428,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education
2303.0,25715,22446,3269,8082,6694,1388,17633,15752,1881,53049,55754,43567,50000,52409,42728,58542,61604,47517,SCHOOL STUDENT COUNSELING,Education
2304.0,2585631,1150702,1434929,259014,135033,123981,2326617,1015669,1310948,47000,55000,40000,46000,54000,40000,53000,65000,45000,ELEMENTARY EDUCATION,Education
2305.0,151507,83899,67608,60397,36007,24390,91110,47892,43218,52000,60000,43385,50000,56000,40000,60000,68702,50000,MATHEMATICS TEACHER EDUCATION,Education
2306.0,489400,204250,285150,265985,114351,151634,223415,89899,133516,53000,63000,48000,50000,60000,41000,56000,66000,50000,PHYSICAL AND HEALTH EDUCATION TEACHING,Education
2307.0,255092,86415,168677,7483,2990,4493,247609,83425,164184,40000,50000,34000,40000,49021,34000,55000,58065,46715,EARLY CHILDHOOD EDUCATION,Education
2308.0,131053,72952,58101,58284,34730,23554,72769,38222,34547,54000,62000,42000,46670,56000,36350,61000,70000,49254,SCIENCE AND COMPUTER TEACHER EDUCATION,Education
2309.0,450371,231492,218879,210774,121409,89365,239597,110083,129514,53000,62000,44000,50000,60000,40000,56000,65000,48000,SECONDARY TEACHER EDUCATION,Education
2310.0,355334,204135,151199,46060,28325,17735,309274,175810,133464,52000,60000,42000,50235,60000,40000,55000,61000,47428,SPECIAL NEEDS EDUCATION,Education
2311.0,247110,122404,124706,129167,66715,62452,117943,55689,62254,51000,60974,42000,50000,57237,40000,53000,65000,44073,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education
